Country,Indicator Code,Indicator Name,Year,Value
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2024,1.35065253490181
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2023,0.0391565674939329
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2022,2.67331821840567
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2021,4.7363207484732
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2020,-9.01193412390238
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2019,1.58784665466504
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2018,2.62493010870395
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2017,2.23783867965943
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2016,1.11742594891074
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2015,0.967703108220121
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2014,3.09032803070775
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2013,2.42993096446429
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2012,4.21667711535632
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2011,-2.04663389535644
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2010,2.97113275066512
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2009,3.04345012371552
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2008,4.23778147502819
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2007,6.70952097453554
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2006,5.24409983246916
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2005,3.4865455430439
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2004,6.23579072222647
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2003,4.70239953285241
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2002,1.32255714828946
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2001,3.79627166202512
TUN,NY.GDP.MKTP.KD.ZG,GDP growth annual,2000,4.7099729138049
TUN,NY.GDP.PCAP.CD,GDP per capita,2024,4350.3717971875
TUN,NY.GDP.PCAP.CD,GDP per capita,2023,3950.3753419816
TUN,NY.GDP.PCAP.CD,GDP per capita,2022,3708.8481241036
TUN,NY.GDP.PCAP.CD,GDP per capita,2021,3906.93926319391
TUN,NY.GDP.PCAP.CD,GDP per capita,2020,3548.65363663803
TUN,NY.GDP.PCAP.CD,GDP per capita,2019,3528.87213306798
TUN,NY.GDP.PCAP.CD,GDP per capita,2018,3628.10366464236
TUN,NY.GDP.PCAP.CD,GDP per capita,2017,3619.03247319953
TUN,NY.GDP.PCAP.CD,GDP per capita,2016,3847.80354448809
TUN,NY.GDP.PCAP.CD,GDP per capita,2015,4014.94773686432
TUN,NY.GDP.PCAP.CD,GDP per capita,2014,4458.97895464547
TUN,NY.GDP.PCAP.CD,GDP per capita,2013,4369.79345826358
TUN,NY.GDP.PCAP.CD,GDP per capita,2012,4297.26782454273
TUN,NY.GDP.PCAP.CD,GDP per capita,2011,4420.64772206537
TUN,NY.GDP.PCAP.CD,GDP per capita,2010,4291.86120891575
TUN,NY.GDP.PCAP.CD,GDP per capita,2009,4080.09032448781
TUN,NY.GDP.PCAP.CD,GDP per capita,2008,4255.05008019523
TUN,NY.GDP.PCAP.CD,GDP per capita,2007,3726.91672935667
TUN,NY.GDP.PCAP.CD,GDP per capita,2006,3322.56933570096
TUN,NY.GDP.PCAP.CD,GDP per capita,2005,3146.8260743927
TUN,NY.GDP.PCAP.CD,GDP per capita,2004,3067.41936376975
TUN,NY.GDP.PCAP.CD,GDP per capita,2003,2725.8643148859
TUN,NY.GDP.PCAP.CD,GDP per capita,2002,2320.7723805785
TUN,NY.GDP.PCAP.CD,GDP per capita,2001,2235.71981624751
TUN,NY.GDP.PCAP.CD,GDP per capita,2000,2199.04465936314
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2024,
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2023,
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2022,
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2021,0.982280015945435
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2020,0.984579980373383
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2019,
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2018,0.991370022296906
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2017,0.99575001001358
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2016,1.00265002250671
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2015,1.00042998790741
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2014,1.00071001052856
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2013,0.99848997592926
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2012,1.00481998920441
TUN,SE.ENR.PRIM.FM.ZS,Female to male enrollment primary,2011,0.998369991779327
